group_index,solvent_1,solvent_2,compound_id,temperature,J0,J1,J2,solvent_1_pure,solvent_2_pure,rmse,r2,mape,logmape
320,702,962,11741,293.15,1664.7180896313405,-978.7719858369389,833.5557531144123,0.0214,0.0003,0.00016138797656633396,0.9995512314948337,3.338389709612883,0.5235370330188844
321,702,962,11741,298.15,1534.6230810055868,-776.042477301434,691.7125401803394,0.026,0.0005,0.00014557398076202484,0.9997536194236019,2.5506110875928965,0.40664424324771087
322,702,962,11741,303.15,1576.8738727224552,-912.9661471717385,728.3875000445479,0.0326,0.0006,0.00024255773779242643,0.9995408364596521,3.1837621688780904,0.5029406179218893
323,702,962,11741,308.15,1561.4892046795528,-909.0623685230861,654.2636005521504,0.0401,0.0008,0.0003147039817788775,0.9994746736945674,2.99346746804253,0.47617454274681603
324,702,962,11741,313.15,1512.386484874199,-911.6620411113553,641.1503302163352,0.0488,0.0011,0.00037601866937766375,0.9994766125825031,2.767731158628789,0.44212390298329063
325,702,962,11741,318.15,1476.0587393605767,-869.0048653512196,651.5318941472123,0.0576,0.0015,0.00047198855272107297,0.9994079649644201,2.695486876702939,0.4306372217556875
326,702,962,11741,323.15,1447.7793246505391,-858.1507525138633,692.2373557483594,0.0675,0.002,0.0003592386462237809,0.9997505647353389,1.8455282815583864,0.26612070487203654
327,702,962,11741,328.15,1408.7580969793626,-822.9451837124401,547.0801346852816,0.0817,0.0027,0.000577142599366645,0.9995418776321542,2.244447446188782,0.35110944083705986
328,702,962,21102,303.15,1354.673693713319,-433.51651612494663,193.37396437466433,0.0064,0.0001,4.136204295946548e-05,0.9996541664433636,4.759445625519946,0.6775563695694697
329,702,962,21102,308.15,1548.5737263860967,-599.5812805103324,247.00821581999386,0.0082,0.0001,5.1695957832336705e-05,0.9996706431741047,2.0407920780284283,0.3097987597553905
330,702,962,21102,313.15,1748.2806097094785,-852.0900869333433,416.83022186079444,0.0103,0.0001,6.58958660546098e-05,0.999657737450666,2.8926017721588537,0.46128864793820407
331,702,962,21102,318.15,1493.3814884616809,-605.9357630304222,258.51395483187605,0.013,0.0002,5.7512991537454384e-05,0.9998340972577323,2.6413458062269397,0.4218252629656545
332,702,962,27901,278.15,1214.451704913366,-445.18576846968676,91.6170992138968,0.0132,0.0004,0.00010528967906422067,0.9994535442337167,1.558499890966466,0.1927067762293721
333,702,962,27901,283.15,1138.209850576553,-375.34283236863376,73.96297197322006,0.0142,0.0005,8.122224061373589e-05,0.9997160630386904,1.0191908926093536,0.008255534195382094
334,702,962,27901,288.15,1176.2270601396744,-418.57727652142944,145.28214228109934,0.0158,0.0005,8.552967469888883e-05,0.9997459052360959,0.9517886148454409,-0.021459494472513767
335,702,962,27901,293.15,1228.003894320783,-486.3816744813342,232.4720374248232,0.0176,0.0005,6.913298231014502e-05,0.9998663715880457,1.1594219664164314,0.06424152425889577
336,702,962,27901,298.15,1182.4242470720103,-421.37142923059355,170.54764514199147,0.0197,0.0006,8.012445743536318e-05,0.9998554371491691,0.6373933295591174,-0.19559248581180855
337,702,962,27901,303.15,1153.5826408353535,-392.266620771197,163.32598192241144,0.0218,0.0007,9.97518829007245e-05,0.9998154054760026,0.7649001501206895,-0.11639525384227722
338,702,962,27901,308.15,1220.9418003768587,-478.9855181871213,257.0580544408157,0.0238,0.0007,7.947112309604403e-05,0.9999020137468722,0.7444006364468876,-0.1281932642284641
339,702,962,27901,313.15,1204.889173339419,-461.9395802318629,254.86010503191935,0.0261,0.0008,6.056795862274741e-05,0.9999524526609774,0.49225953929915484,-0.3078058590906213
340,702,962,27901,318.15,1196.2833303519262,-434.6437621210536,237.93336617958383,0.0287,0.0009,7.778484712599091e-05,0.9999350500204462,0.5879202361631473,-0.23068159117553963
341,702,962,27901,323.15,1202.2473142781134,-446.77294854179297,236.01672650249972,0.0315,0.001,4.893161303634378e-05,0.9999784846187175,0.32725127820509475,-0.48511864847060526
342,702,962,114811,278.15,1317.7718246385275,-852.8693408525696,580.2247300815305,0.0333,0.0005,8.849973173958529e-05,0.9999358526341552,0.6826690518807857,-0.1657897850083687
343,702,962,114811,283.15,1369.148193825444,-895.6516460615607,671.6304484726754,0.0412,0.0006,5.935551051825304e-05,0.9999814386798236,0.543638960907996,-0.26468942629381453
344,702,962,114811,288.15,1330.8433461383343,-856.5529456805533,646.4050222889306,0.0516,0.0008,9.514561535299891e-05,0.9999692696348118,0.7959299458712769,-0.09912515520252697
345,702,962,114811,293.15,1340.131164711832,-835.8132103116618,649.1468443458854,0.063,0.001,0.00019344018476498694,0.9999151969714155,1.565524865553457,0.1946599699963031
346,702,962,114811,298.15,1357.5683258795118,-849.9737665164159,605.8359130973885,0.0777,0.0012,0.0003901308215459411,0.9997688658057705,2.552567830381234,0.40697729158906243
347,702,962,114811,303.15,1355.5328307116276,-851.0090485086208,613.0796759154794,0.0946,0.0015,0.000534892540977848,0.9997050242164612,2.9257222535855854,0.4662330950426995
348,702,962,114811,308.15,1302.7601117437566,-782.8774878713964,587.0889311531138,0.114,0.002,0.0006834933615876708,0.9996675805881788,3.0084363041247575,0.47834082086008956
349,702,962,114811,313.15,1318.2544452980178,-771.4914915916842,504.4915849257438,0.1385,0.0024,0.0011538807316439097,0.999347562554005,4.03616782428124,0.6059692159503944
350,702,962,114811,318.15,1294.3620567531293,-759.8539160594589,488.5991352188473,0.1653,0.003,0.0014813347924971336,0.9992354320813993,4.2615493056841895,0.6295675175498703
351,702,962,268296,278.15,678.9348094030505,28.858481749613112,-170.5723747791927,0.001,0.0001,2.9045338586079378e-05,0.9923017017403334,8.539040400925755,0.9314090683472529
352,702,962,268296,283.15,856.3191051870767,-277.50484261160324,140.72881342041134,0.0011,0.0001,2.6060055107107538e-05,0.9945290077806629,3.312232886346373,0.5201208648578264
353,702,962,268296,288.15,1021.5941881193842,-433.32709583742036,304.27399469533765,0.0012,0.0001,2.3111283650654146e-05,0.9965549092073721,3.010052866737823,0.4785741233449683
354,702,962,268296,293.15,754.8548444676787,-162.2899785403195,5.260677145996906,0.0013,0.0002,1.9699049040071014e-05,0.9975208893081807,2.372700193064396,0.3752428655989074
355,702,962,268296,298.15,853.0142388509411,-399.2899999038345,342.81860655431683,0.0015,0.0002,2.8771261558779358e-05,0.9958916306606347,2.6895389690174674,0.42967784120259866
356,702,962,268296,303.15,771.1067785438842,-201.87831575351927,134.61000951125737,0.0016,0.0003,2.459026474692382e-05,0.9973021233200893,1.5918458314330979,0.2019010044820381
