"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,25.44,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.01638 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.01728 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.01883 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.02032 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.02173 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.02372 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.02458 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.02639 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.02827 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.02361 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.02571 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.02648 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.02732 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.03195 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.03416 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.03862 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.03916 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.04123 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (79.58 molpercent); ethanol (20.42 molpercent),,Solubility: 0.04416 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.03221 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.03504 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.03612 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.03706 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.04111 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.04727 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.05217 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.05541 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.05873 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (69.46 molpercent); ethanol (30.54 molpercent),,Solubility: 0.06341 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.04802 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.05092 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.05208 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.05316 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.06067 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.06573 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.07043 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.07336 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.08086 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (59.61 molpercent); ethanol (40.39 molpercent),,Solubility: 0.08363 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, ethanol",water (49.76 molpercent); ethanol (50.24 molpercent),,Solubility: 0.05741 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, ethanol",water (49.76 molpercent); ethanol (51.24 molpercent),,Solubility: 0.05982 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (49.76 molpercent); ethanol (52.24 molpercent),,Solubility: 0.06196 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (49.76 molpercent); ethanol (53.24 molpercent),,Solubility: 0.06338 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (49.76 molpercent); ethanol (54.24 molpercent),,Solubility: 0.06995 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (49.76 molpercent); ethanol (55.24 molpercent),,Solubility: 0.07648 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (49.76 molpercent); ethanol (56.24 molpercent),,Solubility: 0.08237 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (49.76 molpercent); ethanol (57.24 molpercent),,Solubility: 0.08573 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (49.76 molpercent); ethanol (58.24 molpercent),,Solubility: 0.09418 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (49.76 molpercent); ethanol (59.24 molpercent),,Solubility: 0.09638 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.06831 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.07073 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.07364 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.07692 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.08883 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.09355 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.09904 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.10423 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.11642 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (39.9 molpercent); ethanol (60.1 molpercent),,Solubility: 0.12033 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.08049 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.08836 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.09116 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.09434 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.11321 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.11662 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.12049 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.12883 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.1422 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (29.78 molpercent); ethanol (70.22 molpercent),,Solubility: 0.14913 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.09952 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.11083 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.11638 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.12121 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.13824 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.14557 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.15273 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.16171 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.17546 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (19.2 molpercent); ethanol (80.8 molpercent),,Solubility: 0.18396 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
