"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,30.91,tetrachloromethane,,,Solubility: 31.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,32.89,tetrachloromethane,,,Solubility: 35.6 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,35.01,tetrachloromethane,,,Solubility: 40.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,36.97,tetrachloromethane,,,Solubility: 46.1 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,39.07,tetrachloromethane,,,Solubility: 55.6 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,17.7,ethyl acetate,,,Solubility: 23.6 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,22.7,ethyl acetate,,,Solubility: 29.9 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,24.14,ethyl acetate,,,Solubility: 32.3 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,26.96,ethyl acetate,,,Solubility: 35.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,28.98,ethyl acetate,,,Solubility: 38 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,30.74,ethyl acetate,,,Solubility: 41.3 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,33.09,ethyl acetate,,,Solubility: 44.7 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,35.42,ethyl acetate,,,Solubility: 49 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,37.8,ethyl acetate,,,Solubility: 54.1 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,40.19,ethyl acetate,,,Solubility: 59 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
